,URL,Extracted URL,News Type,Collection,Authors,Goose,Newspaper,DiffBot
0,http://americandigest.org/wp/skyway-paradise-open/,http://americandigest.org/wp/skyway-paradise-open/,blogs,,VANDERLEUN,[],"[Mark Allinson, Snakepit Kansas, Monty James, Fred Z]",Vanderleun
0,http://www.afro-netizen.com/2011/07/invisiblecapitaltebr.html,http://www.afro-netizen.com/2011/07/invisiblecapitaltebr.html,blogs,Collection: Technorati U.S. Political Blogs 2008,Chris Rabb,[],[View Blog Authority],Chris Rabb
0,https://doportugalprofundo.blogspot.com/2017/05/a-misteriosa-quinta-de-jano.html,https://doportugalprofundo.blogspot.com/2017/05/a-misteriosa-quinta-de-jano.html,blogs,Collection: Technorati U.S. Political Blogs 2008,X,[],[Publicado Por],X
0,http://blog.iblamethepatriarchy.com/2015/02/10/get-stuffed/,http://blog.iblamethepatriarchy.com/2015/02/10/get-stuffed/,blogs,Collection: Technorati U.S. Political Blogs 2008,Twisty,[],[],Twisty
0,https://israelmatzav.blogspot.com/2017/07/another-sabbath-massacre.html,https://israelmatzav.blogspot.com/2017/07/another-sabbath-massacre.html,blogs,Collection: Technorati U.S. Political Blogs 2008,Carl in Jerusalem,[],"[Carl In Jerusalem, View My Complete Profile]",X
0,http://loiclemeur.com/english/2015/11/18/the-art-of-the-interview-by-cal-fussman/,http://loiclemeur.com/english/2015/11/18/the-art-of-the-interview-by-cal-fussman/,blogs,Collection: Technorati U.S. Political Blogs 2008,LOÏC LE MEUR,[],[Juan Carlos Nu Ez],Loïc Le Meur
0,http://onegoodmove.org/1gm/1gmarchive/2017/04/trump_world.html,http://onegoodmove.org/1gm/1gmarchive/2017/04/trump_world.html,blogs,Collection: Technorati U.S. Political Blogs 2008,Norm,[],[],Trump World
0,http://www.powerlineblog.com/archives/2017/10/breaking-the-bush-conspiracy-exposed.php,http://www.powerlineblog.com/archives/2017/10/breaking-the-bush-conspiracy-exposed.php,blogs,Collection: Technorati U.S. Political Blogs 2008,STEVEN HAYWARD,[],[Posted On],Steven Hayward
0,http://talkingpointsmemo.com/livewire/bolling-beyond-inappropriate-oreilly-death-of-my-son,http://talkingpointsmemo.com/livewire/bolling-beyond-inappropriate-oreilly-death-of-my-son,blogs,Collection: Technorati U.S. Political Blogs 2008,MATT SHUHAM,[],"[About The Author, Matt Shuham]",Matt Shuham
0,https://aconservativeteacher.blogspot.com/2014/10/info-obyek-wisata-murah-indonesia-dan.html,https://aconservativeteacher.blogspot.com/2014/10/info-obyek-wisata-murah-indonesia-dan.html,blogs,U.S. Political Blogs,anissariskaa,[anissariskaa],[],anissariskaa
0,https://alaskanlibrarian.wordpress.com/2017/01/07/going-to-archival-mode/,https://alaskanlibrarian.wordpress.com/2017/01/07/going-to-archival-mode/,blogs,U.S. Political Blogs,Daniel Cornwall,[],[],Daniel Cornwall
0,https://americanpowerblog.blogspot.com/2017/10/george-saunders-lincoln-in-bardo.html,https://americanpowerblog.blogspot.com/2017/10/george-saunders-lincoln-in-bardo.html,blogs,U.S. Political Blogs,Donald Douglas,[],"[Donald Douglas, View My Complete Profile]",Donald Douglas
0,https://bayourenaissanceman.blogspot.com/2017/10/this-is-gulf-they-just-dont-get-it.html,https://bayourenaissanceman.blogspot.com/2017/10/this-is-gulf-they-just-dont-get-it.html,blogs,U.S. Political Blogs,Peter,[Peter],[],Peter
0,https://davidalove.blogspot.com/2016/03/david-on-al-jazeeras-inside-story-are.html,https://davidalove.blogspot.com/2016/03/david-on-al-jazeeras-inside-story-are.html,blogs,U.S. Political Blogs,DAL,[],[View My Complete Profile],X
0,http://www.dougberger.net/archive/2017/10/the-bill-of-rights-says-no-one-has-to-stand-for-the-anthem.html,http://www.dougberger.net/archive/2017/10/the-bill-of-rights-says-no-one-has-to-stand-for-the-anthem.html,blogs,U.S. Political Blogs,Doug,[],"[Carla Blake, Doug B]",Doug
0,http://fair.org/home/please-stop-using-woman-in-chador-walks-by-anti-us-mural-stock-photo-for-every-article-about-iran/,http://fair.org/home/please-stop-using-woman-in-chador-walks-by-anti-us-mural-stock-photo-for-every-article-about-iran/,blogs,U.S. Political Blogs,ADAM JOHNSON,[],[Adam Johnson],Adam Johnson
0,http://www.world-o-crap.com/blackhead-mask/,http://www.world-o-crap.com/blackhead-mask/,blogs,U.S. Political Blogs,ivantrajcev,[],[],ivantrajcev
0,http://www.telegraph.co.uk/science/2017/10/20/listening-podcast-running-could-harm-performance/,http://www.telegraph.co.uk/science/2017/10/20/listening-podcast-running-could-harm-performance/,blogs,U.S. Political Blogs,Sarah Knapton,"[Sarah Knapton ,]","[Science Editor, George Freeman, Sarah Knapton]",Sarah Knapton
0,https://francona.blogspot.com/2017/10/the-impending-fall-of-al-raqqah-then.html,https://francona.blogspot.com/2017/10/the-impending-fall-of-al-raqqah-then.html,blogs,U.S. Political Blogs,X,[],[],X
